p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.7834341229659e-295	2.97729181425469	0.613	0.001	6.19290125887188e-291	Basal	OLFM4
7.93503242433479e-137	2.77147532500341	0.484	0.005	4.24841635998884e-133	Basal	SERPINB3
2.91867078807906e-129	1.58964430775227	0.355	0.002	1.04177089329169e-125	Basal	DSG3
3.94813594287923e-128	3.27231699509128	0.71	0.018	1.05691599190877e-124	Basal	KRT13
1.24916234086101e-122	2.52885719299255	0.323	0.002	2.67520606918794e-119	Basal	APOBEC3A
6.36693409524681e-116	1.844320469663	0.29	0.001	1.13628550486505e-112	Basal	LY6D
8.58134579054837e-87	0.916852759937896	0.161	0	1.3127007246456e-83	Basal	SERPINB13
4.88476970339935e-74	2.33111808235574	0.677	0.033	6.53826424800003e-71	Basal	SLPI
1.80093490706835e-61	2.06587010269108	0.548	0.025	2.14271233165421e-58	Basal	KRT23
5.12485920860553e-56	2.13866551200372	0.581	0.032	5.4876992405748e-53	Basal	CRABP2
8.94120431323962e-55	1.29944490260486	0.29	0.007	8.7038559805609e-52	Basal	C19orf33
3.66929592645713e-54	0.991003173949782	0.161	0.001	3.27423506504191e-51	Basal	RHCG
2.02052153808451e-52	1.41683172817682	0.323	0.009	1.66428804844684e-49	Basal	ANXA8
2.96675516822103e-49	1.75176850108645	0.226	0.004	2.2691438815222e-46	Basal	KRT6A
4.0698800409875e-49	1.11345500639367	0.226	0.004	2.90535169859294e-46	Basal	CYP4B1
6.3483830795658e-45	1.91618179949944	0.452	0.024	4.24865537599941e-42	Basal	FGFBP1
5.80223671726761e-44	1.15896139150237	0.226	0.005	3.65472651579421e-41	Basal	GJB4
7.00341559720488e-44	1.25698300264567	0.226	0.005	4.16625412304833e-41	Basal	CENPW
2.34987229642314e-43	1.0796673355048	0.161	0.002	1.32433855526837e-40	Basal	CLCA4
3.03842127066733e-43	0.890685278527728	0.161	0.002	1.62677074831529e-40	Basal	FAM3D
3.55409638211999e-40	1.81236012428833	0.516	0.036	1.81225066951147e-37	Basal	S100A14
4.3661173699047e-39	1.75158871515375	0.516	0.037	2.12510839986089e-36	Basal	SERPINB5
1.3368691291042e-38	1.03406318464318	0.194	0.004	6.2239976671512e-36	Basal	DAPP1
1.44974437828658e-36	1.44040332141809	0.29	0.012	6.46827616778862e-34	Basal	CXCL17
4.60672586498529e-36	0.818014405221468	0.161	0.003	1.9731528224905e-33	Basal	TMPRSS11E
2.28909173341353e-34	1.89422545808838	0.194	0.005	9.42753626207388e-32	Basal	CXCL6
1.108193316335e-33	2.10911419551625	0.935	0.182	4.39501260419082e-31	Basal	GSTP1
2.83691283134977e-32	1.07756149097718	0.258	0.01	1.08491652136048e-29	Basal	SMIM3
8.16861538780136e-32	1.18413737143552	0.226	0.008	3.01619081284748e-29	Basal	TRIM29
1.18743579192025e-31	2.01192286119561	0.419	0.031	4.23835415329401e-29	Basal	IL1RN
1.5450440306822e-31	1.22062084152553	0.258	0.011	5.33688112275646e-29	Basal	SDCBP2
1.63928435471451e-31	2.05040520550286	0.71	0.093	5.48545527196344e-29	Basal	LYPD3
4.76887775354327e-31	0.772971340470897	0.129	0.002	1.54742857530125e-28	Basal	RAB38
8.92868929475792e-30	1.66728755611208	0.355	0.023	2.81201191083141e-27	Basal	PLAT
2.74944802407207e-29	2.09722837619699	0.774	0.122	8.41173984050392e-27	Basal	DEFB1
3.191447250108e-29	1.30183844157646	0.194	0.006	9.49278254282124e-27	Basal	GPX2
3.09584240171926e-27	1.29714121762047	0.355	0.025	8.95953525340808e-25	Basal	RND3
1.84455595000522e-25	2.03175887369122	0.129	0.003	5.06448849042458e-23	Basal	SERPINB4
3.95364643157952e-25	1.25731877606121	0.258	0.014	1.05839114973384e-22	Basal	KRT16
2.28955818273456e-24	1.02040268737393	0.194	0.008	5.97965585871261e-22	Basal	CALML3
7.61166519603972e-24	1.01505843237358	0.161	0.005	1.9406121647427e-21	Basal	HAS2
2.48832583304973e-23	0.974544831173922	0.129	0.003	6.19651000472011e-21	Basal	CDKN2A
1.20323771957208e-22	1.44387107518143	0.548	0.072	2.92824306844951e-20	Basal	PLAU
2.75681891422934e-22	2.28102090312261	0.452	0.051	6.56000376301505e-20	Basal	S100A9
2.99733930010285e-22	1.61217281558653	0.774	0.155	6.97728461423941e-20	Basal	KRT17
9.52554330682047e-22	1.16246451830686	0.258	0.017	2.17020250488157e-19	Basal	GPR87
1.85087052536829e-21	0.794581387059646	0.129	0.004	4.12898366367576e-19	Basal	GABRP
2.33535414885887e-20	1.14254628106768	0.226	0.014	5.10346371958791e-18	Basal	SLC25A32
7.97121042315349e-19	1.25629424444927	0.387	0.043	1.70711442422255e-16	Basal	LY6E
1.54979856245526e-18	0.71346465181926	0.129	0.005	3.20800943834273e-16	Basal	GJB5
1.5578678632221e-18	1.79556722051236	0.452	0.059	3.20800943834273e-16	Basal	CXCL1
3.2666678389899e-18	1.50076063943177	0.419	0.053	6.5999017396045e-16	Basal	KRT15
4.49631611251067e-18	1.27663212946898	0.29	0.026	8.91602832088226e-16	Basal	KRT5
8.03523060663463e-18	1.34578766692622	1	0.44	1.56438635156079e-15	Basal	S100A6
1.04535311742397e-16	0.914732307425298	0.194	0.012	1.99886449667427e-14	Basal	SDC1
1.4377511742216e-16	1.20433524975866	0.161	0.009	2.70095431115174e-14	Basal	CLDN1
1.55511823151713e-16	0.933199775298665	0.226	0.017	2.87107000398025e-14	Basal	HSPB8
3.92268343142055e-16	1.52036760563294	0.774	0.217	7.00068236394187e-14	Basal	S100A2
3.17748220456993e-15	0.841625978260599	0.161	0.01	5.57778351582537e-13	Basal	PPARG
4.91626584048599e-15	1.41935667320618	0.323	0.039	8.49086687418128e-13	Basal	CSTA
2.82942530109592e-14	1.30778455316263	0.387	0.058	4.73398220689611e-12	Basal	GADD45A
3.13599117835216e-14	-1.93070779219921	0.677	0.944	5.16618362119922e-12	Basal	KLK3
3.46687359702441e-14	1.19634489297319	0.806	0.262	5.62473976923294e-12	Basal	CXCL8
4.52469796671565e-14	-1.69528481897569	1	1	7.23141281008823e-12	Basal	MSMB
7.97643773916465e-14	0.739634784837367	1	0.985	1.25605434280846e-11	Basal	MT-CO3
1.38166016912621e-13	0.77636704557073	0.161	0.011	2.14417639000051e-11	Basal	ITGA6
3.47786058816911e-13	0.713695132929004	0.129	0.007	5.32013302544497e-11	Basal	RBP1
7.81824849403974e-13	1.82424379028333	0.258	0.03	1.17912401231236e-10	Basal	MMP7
8.39012076664299e-13	1.5665422242533	0.355	0.055	1.24779740512796e-10	Basal	AREG
1.14669743215165e-12	0.914967626526543	0.968	0.792	1.68203234294245e-10	Basal	S100A11
1.21904214729173e-12	0.859761172672237	0.129	0.007	1.76398693421619e-10	Basal	IL18
2.25034112930553e-12	0.883978670747317	0.161	0.012	3.12943543020827e-10	Basal	ARL4D
3.55454980908409e-12	0.946584952262236	0.129	0.008	4.81798979185727e-10	Basal	KIF13A
4.06014016873482e-12	1.11025293767554	0.968	0.742	5.43449761585156e-10	Basal	HSPB1
5.11745398240043e-12	0.836589872003965	0.161	0.012	6.76514780784491e-10	Basal	TMEM40
1.25620952082279e-11	0.836631588737271	0.129	0.008	1.64042579865493e-09	Basal	SOX15
1.51653582486536e-11	0.821764307092312	1	0.789	1.91047830737156e-09	Basal	RPS6
5.48641481929701e-11	-1.40261445197735	0.645	0.902	6.75270458448648e-09	Basal	AZGP1
9.39799524764378e-11	0.825915699975812	0.226	0.027	1.13071610237943e-08	Basal	SMAGP
1.01692615910005e-10	0.798915610111846	0.129	0.009	1.20991614573815e-08	Basal	ASS1
1.06199754707513e-10	0.64109903108388	0.258	0.034	1.24965601473412e-08	Basal	GJA1
1.17292688135285e-10	0.681321356482841	0.129	0.009	1.33613840909854e-08	Basal	SERPINB2
1.17292688135285e-10	0.642914991563287	0.129	0.009	1.33613840909854e-08	Basal	VSNL1
1.4320294741473e-10	1.39230898607522	0.452	0.105	1.61412332728098e-08	Basal	PMAIP1
2.45343676422023e-10	-1.64532834127514	0.323	0.811	2.73660425742398e-08	Basal	DHRS7
2.62561992050293e-10	-1.57572082365252	0.484	0.836	2.8984678462624e-08	Basal	RDH11
2.87369371084875e-10	-0.78384096722864	1	0.998	3.13995023018045e-08	Basal	B2M
5.77880256134874e-10	0.770155723666109	0.194	0.022	6.12667503236854e-08	Basal	FRMD6
1.14297534339922e-09	0.888123820200033	0.29	0.047	1.19989999775675e-07	Basal	MXD1
1.30062658359732e-09	-1.77708723641982	0.355	0.795	1.35214654923884e-07	Basal	ACPP
1.38086583461897e-09	1.53863085076495	0.226	0.03	1.42176070741345e-07	Basal	S100A8
1.89537270762164e-09	1.10314497052202	0.355	0.07	1.81211169225111e-07	Basal	CLU
1.9253200448047e-09	-1.9262742187964	0.548	0.841	1.82445372033352e-07	Basal	NPY
2.54051928427829e-09	1.31376458341535	0.258	0.041	2.36555482574364e-07	Basal	GPRC5A
4.46029504201988e-09	0.846200013538562	0.194	0.024	4.11731373361629e-07	Basal	LAMB3
6.77717419320747e-09	0.676312418148744	1	0.844	6.14999841193776e-07	Basal	RPS18
8.35644717999131e-09	0.778364561986644	0.161	0.017	7.50445304682936e-07	Basal	ZNF267
8.40992123290552e-09	0.693942111516895	0.161	0.017	7.50445304682936e-07	Basal	RARRES3
1.2530022550141e-08	0.711651846553888	0.129	0.012	1.10885521873479e-06	Basal	MED6
2.274322933246e-08	1.15672843755175	0.323	0.067	1.9328134896189e-06	Basal	PRSS22
