p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.7895268628099	0.638	0.263	0	B cell	JCHAIN
0	1.77311366303967	0.76	0.399	0	B cell	IGHG1
0	1.67030181586966	0.734	0.183	0	B cell	MZB1
0	1.46861791479633	0.683	0.41	0	B cell	IGKC
0	1.43518489888758	0.57	0.14	0	B cell	PRDX4
0	1.42048541667137	0.653	0.153	0	B cell	FKBP11
0	1.40416347487569	0.653	0.207	0	B cell	SSR4
0	1.39032442108715	0.618	0.164	0	B cell	XBP1
0	1.38097301829699	0.57	0.172	0	B cell	HSP90B1
0	1.37676461179274	0.611	0.162	0	B cell	SEC11C
0	1.34660176280997	0.65	0.207	0	B cell	PPIB
0	1.3188251318354	0.6	0.176	0	B cell	SPCS2
0	1.31614768273936	0.547	0.148	0	B cell	HERPUD1
0	1.29828489684839	0.578	0.154	0	B cell	DERL3
0	1.25767613525353	0.53	0.171	0	B cell	MYDGF
0	1.15152256628052	0.544	0.155	0	B cell	ISG20
0	1.07059165554207	0.667	0.257	0	B cell	FKBP2
0	1.01417035957027	0.654	0.316	0	B cell	SUB1
0	0.958453846854056	0.571	0.223	0	B cell	SSR3
0	0.931853205189759	0.663	0.311	0	B cell	SEC61G
0	-1.03739607826506	0.008	0.152	0	B cell	CYBB
0	-1.07815874422284	0.004	0.133	0	B cell	BPI
0	-1.09770346523757	0.014	0.183	0	B cell	CD82
0	-1.10778458412883	0.195	0.471	0	B cell	ARPC5
0	-1.11797620225157	0.004	0.145	0	B cell	CDA
0	-1.14853822574204	0.009	0.174	0	B cell	RAB31
0	-1.15330926954089	0.022	0.198	0	B cell	BASP1
0	-1.19173455954533	0.335	0.607	0	B cell	CD63
0	-1.19853383988895	0.014	0.175	0	B cell	TIMP1
0	-1.19877010811397	0.034	0.23	0	B cell	COTL1
0	-1.20501500402779	0.006	0.151	0	B cell	ETS2
0	-1.20751295331438	0.05	0.275	0	B cell	IFNGR1
0	-1.2276737064148	0.008	0.195	0	B cell	FYB
0	-1.2279633413478	0.008	0.169	0	B cell	NCF2
