p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.84943422810928e-213	2.97870633312416	0.644	0.008	5.48735424938931e-209	B	MZB1
5.67053889501293e-209	4.4169211439097	0.995	0.138	2.65976626870581e-205	B	JCHAIN
8.30241253525112e-185	3.02406338848392	0.861	0.088	2.59616439977303e-181	B	HIST1H1C
7.54814852317973e-138	2.52954416228005	0.614	0.044	1.77022953239873e-134	B	HIST1H2AC
1.33917760951493e-135	2.29853795244202	0.535	0.026	2.51256503097191e-132	B	LINC00152
9.25052391618629e-131	2.46286844999849	0.485	0.018	1.44631941429573e-127	B	HIST1H2BJ
4.11809336876773e-129	2.59662588364572	0.589	0.044	5.51883341320143e-126	B	RGS1
1.49473018534075e-124	2.50947386431169	0.455	0.016	1.7527579835852e-121	B	HIST1H2BC
1.1987920893822e-122	4.59952353367618	0.713	0.103	1.24954095449938e-119	B	IGHA2
4.46371059639865e-113	4.51532656665201	0.941	0.417	4.18740691048157e-110	B	IGHA1
7.83546119247589e-80	-2.21474069659373	0.183	0.878	6.68222376787421e-77	B	CYSTM1
9.27111556342386e-78	1.57340476049533	0.465	0.05	7.2476945917066e-75	B	SRGN
9.15822719916703e-75	1.82294053390256	0.287	0.011	6.60871764272199e-72	B	HIST1H4H
4.06927270680013e-67	1.81938445931438	0.322	0.023	2.72670337589229e-64	B	DERL3
5.65100470924104e-66	2.61176168353652	0.361	0.035	3.53413834515935e-63	B	CCL3
7.96650417581165e-65	-2.2741962747723	0.243	0.835	4.67086097958057e-62	B	LYZ
1.62105390820922e-64	1.51176420449234	0.807	0.362	8.94535688994747e-62	B	SSR4
3.1465194208516e-64	-1.94463259678868	0.252	0.844	1.63986103816716e-61	B	ACTG1
7.85997090023439e-63	-2.03259198664087	0.183	0.807	3.88075721132099e-60	B	ACTB
6.01524365133644e-56	1.62231969539515	0.228	0.01	2.82145003465936e-53	B	MIR155HG
6.74623361074661e-55	4.13271117707138	0.901	0.704	3.01363892868638e-52	B	IGKC
2.80446906450117e-53	1.49208450738125	0.233	0.013	1.19585110427661e-50	B	RAB30
5.78718361852502e-51	1.80407921760015	0.327	0.039	2.36041606632101e-48	B	RP11-386I14.4
3.67743794236131e-47	-1.21122447664388	0.46	0.862	1.43741855572048e-44	B	TPT1
8.35449112370014e-46	-1.25510889196769	0.465	0.871	3.13493924925724e-43	B	UBB
3.28747103640495e-44	4.83860747704549	0.391	0.079	1.18614483817365e-41	B	IGLC3
6.25331627555756e-44	1.18246638342006	0.129	0.001	2.1726799992965e-41	B	CLECL1
5.32979533410755e-40	1.28303099528476	0.233	0.023	1.78567178675939e-37	B	HIST2H2BE
2.0226751113476e-38	1.38575258335839	0.663	0.288	6.54300524812131e-36	B	MALAT1
3.18127542816113e-38	1.0855861791267	0.163	0.008	9.94784826385987e-36	B	IL2RG
5.15754537116824e-38	-2.2622083522096	0.153	0.619	1.56073977828804e-35	B	S100P
1.36899767228218e-37	-2.12507883037373	0.05	0.561	4.01330223864974e-35	B	MUC1
9.20504788437303e-36	1.10804606888111	0.129	0.004	2.61674406676677e-33	B	SLAMF7
2.3044394687608e-34	1.25020518626098	0.153	0.009	6.35821960483679e-32	B	BST2
8.21013834867278e-33	0.539687923438197	0.995	0.969	2.20055165282569e-30	B	B2M
1.19514266444919e-32	-2.28048334993237	0.144	0.58	3.11434259311053e-30	B	CXCL3
5.50238485478565e-32	-1.13234659700955	0.361	0.764	1.39507763034444e-29	B	FTH1
4.97964207495741e-31	-1.61806730398477	0.119	0.569	1.22931637645199e-28	B	S100A11
9.94355637366798e-31	4.32837525612738	0.198	0.024	2.39180775234306e-28	B	IGLL5
1.53785364154717e-30	-1.89624325194521	0.064	0.508	3.6066512528385e-28	B	IFI27
3.81029246511622e-30	1.27416869433005	0.302	0.062	8.71813502811104e-28	B	LGALS1
6.98297432484407e-30	-2.16504768048459	0.059	0.488	1.55969719384196e-27	B	LCN2
2.46983364549056e-29	1.3566492763678	0.282	0.057	5.38825800659231e-27	B	FKBP11
3.14047731290927e-29	1.54179544539893	0.163	0.015	6.69564038009134e-27	B	CLEC2B
4.35023585323012e-29	-1.91193498931334	0.059	0.483	9.06879167536705e-27	B	KRT8
9.14794042463311e-29	-0.863932776585922	0.495	0.811	1.86558324181485e-26	B	EEF1A1
3.81147631074362e-28	-1.21087746220262	0.238	0.652	7.60754452576297e-26	B	PTMA
4.7023607323194e-28	1.1332205333864	0.198	0.026	9.19017625622672e-26	B	HIST1H2BD
1.05274993331634e-27	-1.03907232878669	0.361	0.718	2.01547900498787e-25	B	RPS24
1.28420374491347e-27	-1.83716635442544	0.045	0.463	2.3683083381814e-25	B	ELF3
1.28753571311429e-27	-0.767387167272706	0.629	0.854	2.3683083381814e-25	B	TMSB10
2.55023913561355e-27	1.11610390363975	0.178	0.021	4.60072948676744e-25	B	CYTIP
5.81102558189843e-27	-1.96463918160992	0.079	0.483	1.00952814721906e-24	B	TM4SF1
5.81116298367226e-27	-1.81846762385985	0.059	0.473	1.00952814721906e-24	B	CD24
8.86079806327852e-27	1.10000191271588	0.134	0.01	1.51132993875665e-24	B	ANKRD28
9.29031150094934e-27	-1.01756187359295	0.579	0.833	1.55629307482867e-24	B	HSP90AA1
5.49775683365628e-26	0.874691661293352	0.847	0.7	9.04815032570693e-24	B	H3F3B
