p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.51412851621525	0.917	0.043	0	DC	HLA-DRA
0	3.31914101208743	0.901	0.045	0	DC	CD74
0	2.98187008865508	0.868	0.038	0	DC	SRGN
0	2.87590277902008	0.711	0.014	0	DC	HLA-DRB1
0	2.74950422357798	0.669	0.014	0	DC	HLA-DPB1
0	2.68494173367085	0.653	0.015	0	DC	HLA-DPA1
0	2.5179256728828	0.62	0.017	0	DC	GPR183
2.99580704580807e-261	1.96845751367032	0.488	0.013	4.47985496112524e-258	DC	TYROBP
2.28018120627482e-257	1.94878555457166	0.554	0.018	3.03086753007396e-254	DC	FCER1G
4.42784785341744e-254	2.45593885027376	0.752	0.041	5.29703438704328e-251	DC	AIF1
1.26119887283944e-231	1.53969183533032	0.388	0.008	1.37161110143438e-228	DC	LCP1
3.82804169413346e-213	2.55347685154843	0.413	0.011	3.81623856557655e-210	DC	RGS1
1.77079349421391e-205	1.43564204379734	0.306	0.005	1.62953865932931e-202	DC	HLA-DMA
3.47310544620578e-204	1.45910781136709	0.355	0.008	2.96776860378284e-201	DC	LSP1
1.83873562524701e-187	1.60621173607526	0.273	0.004	1.466452952322e-184	DC	RETN
4.59353348229827e-183	1.44719214117434	0.215	0.002	3.43452756554589e-180	DC	CSTA
7.05269071793517e-183	1.75558506147173	0.471	0.02	4.96301994462697e-180	DC	LST1
8.45984767978424e-171	1.76800672929604	0.537	0.03	5.62250876629216e-168	DC	ARHGDIB
4.11384905043462e-170	1.0681904732686	0.198	0.002	2.59020927317628e-167	DC	CLEC10A
4.46921529345223e-166	1.50060022165258	0.372	0.013	2.67326112777845e-163	DC	LAPTM5
2.30427197996841e-157	1.53872802358098	0.182	0.001	1.31266693792201e-154	DC	FCN1
6.85699026007359e-156	1.05531204557154	0.19	0.002	3.72864429460274e-153	DC	MNDA
4.33007273398677e-155	1.22742392192358	0.24	0.004	2.25220261376886e-152	DC	HCK
3.99027180134094e-153	1.3989878823611	0.256	0.005	1.9889842316434e-150	DC	JAML
2.52048254804816e-150	1.34541659322661	0.289	0.008	1.20610130889201e-147	DC	RNASE6
4.10796440982074e-148	2.21968621535276	0.545	0.038	1.89013762441098e-145	DC	S100A4
3.48440445429995e-146	1.43331012253597	0.248	0.005	1.54384927728853e-143	DC	CPVL
2.49893097827345e-144	1.44239648803169	0.289	0.008	1.06766826046733e-141	DC	FGL2
4.46015450693845e-142	1.39267407863599	0.314	0.011	1.83989063332775e-139	DC	CD53
2.69757885481257e-139	1.33883342319889	0.306	0.01	1.07570452800409e-136	DC	CTSS
1.31203225308063e-136	1.13218263514629	0.207	0.004	5.06317478825924e-134	DC	C1orf162
9.72006028622782e-129	1.24802898859995	0.223	0.005	3.63378378762948e-126	DC	HCST
3.09714840474485e-125	1.26362048862114	0.298	0.011	1.12276322321099e-122	DC	SAMHD1
9.37683226821957e-123	2.50226399464607	0.917	0.175	3.29926601249149e-120	DC	CST3
7.81342173037511e-122	1.0545605882938	0.207	0.004	2.67062754744221e-119	DC	FAM26F
7.49956192546367e-120	1.00486813548952	0.198	0.004	2.4921460920645e-117	DC	PTPRC
7.37836931305234e-116	1.47222835505002	0.38	0.022	2.38560627275798e-113	DC	GMFG
2.07003913987388e-103	0.995688084934415	0.207	0.006	6.51681006060823e-101	DC	NCKAP1L
3.64822913420823e-103	1.25157420814338	0.215	0.007	1.11907090083418e-100	DC	CYTIP
1.8982787160153e-100	1.01153423988237	0.174	0.004	5.67727706992277e-98	DC	HCLS1
1.11926244644503e-91	1.46431945692402	0.322	0.02	3.26578942605413e-89	DC	CD83
8.33129483809898e-90	1.01884045498663	0.182	0.005	2.37303047971853e-87	DC	CD37
1.11349058668582e-89	0.832417831211602	0.198	0.007	3.09783439267965e-87	DC	CORO1A
1.16721712680402e-82	1.07375533753897	0.107	0.001	3.03552575825142e-80	DC	DNASE1L3
1.22588449760574e-82	1.34836103853814	0.364	0.029	3.12026728613989e-80	DC	RGS10
2.84742925145008e-82	0.809777462912212	0.182	0.006	7.09662419481193e-80	DC	ITGB2
5.02077575747887e-80	1.15494661653177	0.174	0.006	1.22578653850449e-77	DC	ALOX5AP
4.54968393163086e-79	1.13221907064536	0.248	0.013	1.088557377482e-76	DC	RILPL2
1.00020898660011e-75	0.890780194292792	0.157	0.005	2.34617649150923e-73	DC	PTPRE
3.15032590651945e-71	0.917061727430725	0.149	0.005	7.24756708071004e-69	DC	TYMP
9.23735741717045e-71	0.944127319111971	0.19	0.008	2.0850284298417e-68	DC	PYCARD
5.04978562792604e-66	1.3171508064265	0.273	0.021	1.11871454568295e-63	DC	S100B
2.02863051975195e-65	1.13443229609543	0.289	0.024	4.41245580141683e-63	DC	ARPC1B
5.62233144252076e-65	1.42137781380133	0.43	0.054	1.19487783513628e-62	DC	VAMP8
5.69322382368702e-65	0.798568108051163	0.116	0.003	1.19487783513628e-62	DC	C15orf48
9.67504149148632e-64	0.85632699569628	0.165	0.007	1.99556071314915e-61	DC	CYBB
2.88772837563789e-61	0.852250973915588	0.174	0.008	5.85523636572137e-59	DC	PLEK
4.51871813334857e-61	0.653721943790029	0.124	0.004	9.00957083820815e-59	DC	TNFSF13B
2.4800001500013e-60	0.720625377211029	0.149	0.006	4.86364619581403e-58	DC	RAC2
4.32486614842525e-59	1.07292798924777	1	0.978	8.34489898929214e-57	DC	TMSB4X
8.42027337217983e-59	1.0576401662957	0.24	0.018	1.59891635478393e-56	DC	BID
4.09277104846414e-58	0.874754020157276	0.19	0.011	7.65028438324632e-56	DC	GLIPR1
1.6426471683521e-51	1.31239388775815	0.661	0.151	3.02322893461479e-49	DC	SH3BGRL3
5.494632233075e-50	1.13521465770752	0.992	0.682	9.9594371824661e-48	DC	B2M
6.32461322322534e-49	1.59368904927743	0.884	0.33	1.12927385058873e-46	DC	SAT1
2.42082186686329e-48	1.49139850932832	0.355	0.05	4.25886646960082e-46	DC	PLAC8
2.64302901007014e-48	1.29290537001669	0.355	0.049	4.58239942716943e-46	DC	ANXA1
2.35286690585624e-46	2.34028362808418	0.43	0.076	3.9093537214942e-44	DC	LYZ
8.11794368433249e-46	1.17853592983899	0.322	0.042	1.33034192185849e-43	DC	COTL1
