p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.76506136449546	0.905	0.112	0	Endothelial	GNG11
0	2.71906824048356	0.929	0.157	0	Endothelial	IFI27
0	2.68898034667944	0.48	0.008	0	Endothelial	SELE
0	2.62630383538923	0.957	0.164	0	Endothelial	TM4SF1
0	2.51257653002941	0.792	0.009	0	Endothelial	CLDN5
0	2.40108074898601	0.93	0.119	0	Endothelial	CAV1
0	2.3717680139111	0.889	0.032	0	Endothelial	VWF
0	2.36877044537696	0.953	0.297	0	Endothelial	SPARCL1
0	2.31252812172242	0.769	0.109	0	Endothelial	CTGF
0	2.30314403769082	0.975	0.309	0	Endothelial	HLA.E
0	2.28110456851473	0.985	0.505	0	Endothelial	TMSB4X
0	2.26477397718062	0.975	0.41	0	Endothelial	HLA.C
0	2.25383851403617	1	0.561	0	Endothelial	B2M
0	2.17707461209476	0.923	0.144	0	Endothelial	A2M
0	2.12310811999995	0.599	0.112	0	Endothelial	CCL2
0	2.12171515910246	0.977	0.454	0	Endothelial	HLA.B
0	2.04940519793981	0.836	0.086	0	Endothelial	EMP1
0	2.01128191216392	0.982	0.572	0	Endothelial	HLA.A
0	1.93862047683751	0.919	0.305	0	Endothelial	MGP
0	1.86790533735349	0.887	0.265	0	Endothelial	S100A6
0	1.83308342352549	0.947	0.457	0	Endothelial	GSN
0	1.8064551415766	0.869	0.084	0	Endothelial	CD34
0	1.79484647545127	0.831	0.083	0	Endothelial	RAMP2
0	1.74814373017396	0.758	0.014	0	Endothelial	CLEC14A
0	1.73684155665901	0.722	0.035	0	Endothelial	SOX17
0	1.64916003208849	0.748	0.16	0	Endothelial	ID1
0	1.62681331146938	0.752	0.213	0	Endothelial	SLC9A3R2
0	1.61929780519265	0.776	0.146	0	Endothelial	PRSS23
0	1.61101581729953	0.866	0.163	0	Endothelial	BCAM
0	1.52126541095803	0.878	0.23	0	Endothelial	PTRF
0	1.47774962539458	0.873	0.332	0	Endothelial	TXNIP
0	1.47173773533947	0.786	0.047	0	Endothelial	SRGN
0	1.46378951597985	0.52	0.071	0	Endothelial	CXCL2
0	1.44576610523764	0.75	0.019	0	Endothelial	ESAM
0	1.43615684220685	0.846	0.133	0	Endothelial	CD74
0	1.42483368940047	0.894	0.29	0	Endothelial	SOCS3
0	1.41929997350122	0.677	0.074	0	Endothelial	RBP7
0	1.41753491957324	0.867	0.387	0	Endothelial	SAT1
0	1.41421546031953	0.975	0.536	0	Endothelial	IGFBP7
0	1.41283236423188	0.66	0.061	0	Endothelial	TM4SF18
0	1.41211550939487	0.724	0.083	0	Endothelial	PALMD
0	1.40835472901733	0.794	0.184	0	Endothelial	ITM2A
0	1.40399936567983	0.526	0.005	0	Endothelial	C2CD4B
0	1.38702432980407	0.785	0.102	0	Endothelial	ANXA1
0	1.38626729269039	0.771	0.208	0	Endothelial	GADD45A
0	1.38529144400089	0.707	0.028	0	Endothelial	TNFSF10
0	1.38092473950378	0.85	0.304	0	Endothelial	TAGLN2
0	1.37868543917299	0.718	0.209	0	Endothelial	ID3
0	1.36357781710681	0.849	0.247	0	Endothelial	TIMP3
0	1.35108915915033	0.773	0.139	0	Endothelial	EPAS1
0	1.340007937642	0.653	0.037	0	Endothelial	NUAK1
0	1.33586355578786	0.696	0.003	0	Endothelial	EMCN
0	1.32091484123002	0.813	0.214	0	Endothelial	CRIP2
0	1.31716890073319	0.7	0.018	0	Endothelial	PCAT19
0	1.30711623061539	0.864	0.352	0	Endothelial	LY6E
0	1.28710063107721	0.664	0.007	0	Endothelial	GIMAP7
0	1.27844595456655	0.639	0.02	0	Endothelial	ADGRF5
0	1.26847084298921	0.989	0.67	0	Endothelial	TMSB10
0	1.26584973099483	0.753	0.139	0	Endothelial	AP1S2
0	1.2642770875194	0.704	0.028	0	Endothelial	FXYD5
0	1.2634546683228	0.732	0.088	0	Endothelial	EHD4
0	1.26015453303138	0.715	0.217	0	Endothelial	CDKN1A
0	1.25503948555604	0.722	0.109	0	Endothelial	ETS2
0	1.23171341857771	0.636	0.133	0	Endothelial	IFITM1
0	1.21947471346302	0.588	0.01	0	Endothelial	PODXL
0	1.21679929227273	0.752	0.164	0	Endothelial	NFIB
0	1.21645695498422	0.743	0.18	0	Endothelial	IER3
0	1.21522105058941	0.68	0.124	0	Endothelial	BHLHE40
0	1.21137923438389	0.814	0.132	0	Endothelial	EGFL7
0	1.21120938067425	0.945	0.481	0	Endothelial	ZFP36
0	1.20946687447495	0.935	0.377	0	Endothelial	IER2
0	1.20930653800058	0.758	0.237	0	Endothelial	SLC2A3
0	1.20023811113043	0.988	0.812	0	Endothelial	PTMA
