p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.40436939425916e-242	2.1427308945663	0.902	0.012	1.99139580105949e-238	Endothelial	CLEC14A
1.47349945540367e-241	2.21665580831883	0.961	0.049	1.0447111138812e-237	Endothelial	CD34
7.19361360543834e-234	3.0588647551995	1	0.114	3.40018136417052e-230	Endothelial	GNG11
3.69060542188851e-232	1.78056435367277	0.854	0.003	1.30831962205948e-228	Endothelial	EMCN
3.58008318393174e-231	3.1446676218651	0.988	0.105	1.01531159096304e-227	Endothelial	CAV1
1.26989102912112e-229	2.13255749235386	0.926	0.047	3.00117579882291e-226	Endothelial	CRIP2
2.40451171555264e-229	1.78157375219704	0.863	0.011	4.87085373236234e-226	Endothelial	PCAT19
1.58071760301545e-227	2.30535280620022	0.905	0.039	2.80182195134489e-224	Endothelial	VWF
3.95613992118165e-226	2.57670759317724	0.961	0.086	6.23311823137286e-223	Endothelial	A2M
2.18826322458578e-222	1.72297588824675	0.839	0.008	3.10295725246263e-219	Endothelial	ESAM
5.60889487630259e-222	3.40193474386568	0.929	0.069	7.23037539508824e-219	Endothelial	CTGF
9.71153977987596e-220	2.09813517843206	0.943	0.08	1.14758028398868e-216	Endothelial	RAMP2
9.37463803392628e-211	2.27166733279155	0.935	0.084	1.02255667170057e-207	Endothelial	ITM2A
6.51220436513059e-203	2.09313602261438	0.801	0.019	6.59593270696799e-200	Endothelial	CLDN5
8.35002720087406e-203	2.54492631201865	0.982	0.17	7.89355904722628e-200	Endothelial	TM4SF1
1.45931460493263e-199	1.88994214485326	0.804	0.021	1.29331756862154e-196	Endothelial	ANXA1
6.58904024129628e-199	1.86668924714104	0.792	0.019	5.49603474244595e-196	Endothelial	RBP7
6.23728764704152e-198	1.47974174492123	0.756	0.006	4.91359660194715e-195	Endothelial	ADGRL4
2.31851337229383e-195	1.6895701630024	0.807	0.031	1.73034313784876e-192	Endothelial	NOTCH4
4.03997132524766e-195	2.71080402203895	0.997	0.251	2.86433966960059e-192	Endothelial	SPARCL1
5.35392874119418e-195	1.39922051038329	0.75	0.006	3.61517664524445e-192	Endothelial	ECSCR.1
1.41442850512343e-191	1.63491989660888	0.783	0.024	9.11663463756826e-189	Endothelial	PALMD
1.37494683563979e-187	2.21726491806614	1	0.252	8.47684614320534e-185	Endothelial	HLA-E
4.01165482446784e-185	1.77381711290948	0.973	0.196	2.37021939212308e-182	Endothelial	PTRF
1.16499868248083e-184	1.77691950868377	0.857	0.078	6.60787252703124e-182	Endothelial	TM4SF18
1.62823904504297e-182	2.77843954562075	1	0.366	8.88016525334976e-180	Endothelial	HLA-B
2.73112218488631e-177	1.55451415090144	0.881	0.086	1.43434491043288e-174	Endothelial	EGFL7
1.163394611172e-174	1.55148834507023	0.723	0.024	5.89176270943535e-172	Endothelial	CTHRC1
5.9498829152492e-171	2.56853373808348	0.997	0.487	2.90928757718047e-168	Endothelial	HLA-C
6.57601480084377e-170	1.39337914286648	0.661	0.003	3.10826299586549e-167	Endothelial	GPIHBP1
5.64757952527374e-169	2.36296473522107	0.997	0.548	2.58331218285102e-166	Endothelial	HLA-A
6.96202450881336e-167	1.42085444805489	0.783	0.063	3.08504711046792e-164	Endothelial	EHD4
7.82883676736573e-165	1.14907390608679	0.637	0.001	3.36402743518928e-162	Endothelial	MYCT1
1.28461619665323e-163	2.35059616514618	1	0.817	5.35760519663025e-161	Endothelial	B2M
6.34943568485236e-163	1.54157199022926	0.818	0.085	2.5724285146059e-160	Endothelial	CAV2
7.47148876253551e-160	1.32798839834338	0.646	0.009	2.94293640702093e-157	Endothelial	TNFSF10
3.84802341945901e-158	2.39386066696679	0.997	0.62	1.47472897534943e-155	Endothelial	IGFBP7
4.43901239821643e-158	1.22458961032393	0.643	0.009	1.65645252122918e-155	Endothelial	ROBO4
6.25656626696481e-157	2.19203517701377	1	0.787	2.27482332475797e-154	Endothelial	TMSB4X
8.54675231062515e-157	2.37253243051145	0.961	0.283	3.02982369411662e-154	Endothelial	MGP
2.69463186605531e-156	1.76428143927856	0.961	0.334	9.31948289284496e-154	Endothelial	BCAM
1.26456378106715e-155	1.27282252998648	0.664	0.022	4.26940819417432e-153	Endothelial	AFAP1L1
2.61659470171664e-155	1.13404431380456	0.616	0.005	8.62867741170742e-153	Endothelial	CYYR1
1.69761949690873e-152	1.20392738690475	0.619	0.008	5.47096465140132e-150	Endothelial	ICAM2
2.78295495985355e-152	1.83164382743828	0.854	0.144	8.76940029571631e-150	Endothelial	SLC9A3R2
3.05063726509384e-152	1.08828737398	0.649	0.018	9.40392096065884e-150	Endothelial	EFNA1
1.52740962426465e-150	1.27223521291894	0.634	0.015	4.60822733448356e-148	Endothelial	GIMAP7
8.43652783861984e-150	1.14479871196271	0.616	0.01	2.49229093232561e-147	Endothelial	CDH5
6.27897489388254e-149	2.25316193618625	0.655	0.028	1.81705844888274e-146	Endothelial	ANGPT2
1.28234625052845e-148	1.02451066499894	1	0.998	3.63673396649867e-146	Endothelial	PTMA
5.12640299901036e-148	1.9381926765202	0.595	0.006	1.42534106913661e-145	Endothelial	RGCC
1.0949126825156e-147	1.40486835427564	0.759	0.074	2.98574266116755e-145	Endothelial	HSPG2
