p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.40461654063983e-245	3.23804724697293	0.857	0.003	1.98982018737946e-241	DC	HLA-DPB1
2.16281281788196e-244	3.23123846236803	0.786	0.002	8.94863803398659e-241	DC	HLA-DRB1
1.43391192989237e-229	2.73191732127627	0.571	0	3.36991349135853e-226	DC	DNASE1L3
1.62896120428207e-229	2.95809263322466	0.571	0	3.36991349135853e-226	DC	C1orf54
4.83755543283007e-203	3.15952818707958	0.857	0.005	8.00615424133377e-200	DC	HLA-DPA1
5.95447162538477e-162	3.65365987554793	0.857	0.008	8.21220878334316e-159	DC	HLA-DRA
5.70401516348131e-114	4.03671231002428	0.929	0.018	6.74296078254398e-111	DC	CD74
2.97862905348108e-97	2.15848778966632	0.429	0.003	3.0810194271945e-94	DC	HLA-DQA1
4.57627405096285e-97	2.09579231573236	0.429	0.003	4.20762975241306e-94	DC	HLA-DMA
2.77254371806662e-93	3.08017952759991	0.714	0.012	2.29427992670013e-90	DC	CST3
6.63691494131999e-90	2.61961115079264	0.429	0.003	4.9927701035839e-87	DC	S100B
4.59396035061817e-59	1.56504440093976	0.214	0.001	3.16791849178044e-56	DC	HLA-DQB1
1.65840214964885e-52	2.89087919003524	0.571	0.016	1.05563675294956e-49	DC	S100A10
2.00927030859631e-52	1.9836861154001	0.286	0.003	1.18762227168818e-49	DC	WDFY4
3.17367479991741e-52	1.69586816830918	0.286	0.003	1.75081059795444e-49	DC	FGL2
3.0045122682906e-43	1.93600559760151	0.429	0.01	1.55389618875654e-40	DC	HLA-C
2.76417010716427e-42	1.58087742324696	0.214	0.002	1.34550044922261e-39	DC	PDE4DIP
3.80284851754062e-24	1.74637516033973	0.571	0.037	1.65624060434993e-21	DC	LYZ
2.34892046214881e-20	2.03057118438368	0.357	0.017	9.71865841214072e-18	DC	ID2
9.37966776173989e-19	1.33969001199286	0.214	0.006	3.69603574897132e-16	DC	CLEC4A
2.31317656367291e-15	1.68896059736344	0.143	0.003	8.43435467007024e-13	DC	LY86
2.34429193246665e-15	1.82611380434287	0.571	0.062	8.43435467007024e-13	DC	SAT1
2.54372490706316e-15	1.17653156347454	0.143	0.003	8.77055150247818e-13	DC	PEA15
2.70984540681384e-15	1.13223054805437	0.143	0.003	8.96958829655382e-13	DC	RAB31
3.1733228289514e-15	1.07956757067077	0.143	0.003	1.0099710157528e-12	DC	TCF4
1.122165192355e-14	1.46821533397217	0.286	0.016	3.43922850619912e-12	DC	ANXA2
6.32634322697043e-14	1.59257669625766	0.214	0.009	1.8696603643993e-11	DC	CTSS
4.95170163096726e-13	1.54901874409109	0.286	0.018	1.41294244814669e-10	DC	HLA-A
7.44151689594638e-13	2.21819406765455	0.429	0.041	2.05261841046521e-10	DC	LGALS1
9.05682579526885e-13	1.75484507503127	0.214	0.01	2.41758817599515e-10	DC	C1orf162
1.10395716253563e-12	1.21440182129328	0.143	0.004	2.85476422499449e-10	DC	PLEK
1.19979411900305e-12	1.25788325750909	0.214	0.01	3.00857464689401e-10	DC	MBD2
1.39431153893031e-12	1.51756634946278	0.357	0.029	3.39350823077892e-10	DC	EVI2B
1.46597476145196e-12	1.0250492616113	0.143	0.004	3.46598318600428e-10	DC	SERPINB9
2.97397936534524e-12	1.36479496679687	0.214	0.011	6.83602201339775e-10	DC	TM2D2
3.70226510236432e-12	1.34083108409117	0.214	0.011	8.28006587082832e-10	DC	TYROBP
1.21854655698729e-11	0.997673501894099	0.143	0.005	2.52086818976745e-09	DC	CSPP1
