p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.74614836347066	0.977	0.033	0	DC	HLA-DPA1
0	3.31402169730241	0.874	0.014	0	DC	HLA-DQA1
0	3.18354666305866	0.874	0.035	0	DC	HLA-DPB1
0	2.79510559626219	0.69	0.011	0	DC	HLA-DQB1
0	2.69666479968088	0.437	0.002	0	DC	FCER1A
0	2.52192441428653	0.736	0.017	0	DC	FCER1G
0	2.41671027602877	0.69	0.017	0	DC	AIF1
0	2.33845224887388	0.483	0.003	0	DC	MS4A6A
0	2.18666544053192	0.46	0.006	0	DC	PLEK
4.60359630199621e-282	2.34601801987013	0.575	0.014	6.23142795438207e-279	DC	TYROBP
8.20525584193677e-277	3.68776733423355	0.966	0.054	1.00969402796778e-273	DC	HLA-DRB1
7.45814054998564e-271	1.6479361906244	0.322	0.003	7.99092563144571e-268	DC	CLEC7A
7.67450008930218e-271	2.08187280228286	0.322	0.003	7.99092563144571e-268	DC	OLR1
7.74736732036164e-270	1.40926462487667	0.218	0	7.49059743202966e-267	DC	VSIG4
3.23918824425402e-261	1.44161417213443	0.23	0.001	2.92304347161483e-258	DC	FCGR2B
2.44352074323758e-252	1.26321462055922	0.195	0	2.06721854877899e-249	DC	MSR1
6.40854510963367e-251	2.56354196621368	0.552	0.015	5.10270980023537e-248	DC	LYZ
1.53560449902261e-240	3.48166293084946	0.437	0.009	1.154774583265e-237	DC	CCL3L3
4.663068841642e-236	1.55616434485481	0.253	0.002	3.32206841265611e-233	DC	FCGR2A
2.26619453368607e-229	1.2257780786079	0.241	0.001	1.53376046039873e-226	DC	RNASE6
1.15526234902809e-227	2.21463003304699	0.563	0.018	7.44649102687819e-225	DC	LAPTM5
1.10608295704794e-226	1.30772373107027	0.195	0	6.80542677572767e-224	DC	SDS
1.08556894622359e-215	1.1872032930542	0.195	0.001	6.38880924177503e-213	DC	NAPSB
1.28369338506501e-215	1.36492088247274	0.195	0.001	7.24003069176666e-213	DC	C1QA
1.85045643484172e-215	2.81979219425541	0.506	0.015	1.0019111320807e-212	DC	IL1B
1.17755040990094e-205	1.30530016898822	0.161	0	6.1305085955458e-203	DC	CD1C
3.99195969362484e-201	3.41609021374289	0.816	0.052	2.00130245973725e-198	DC	RGS1
1.88967880699429e-198	4.15907566456105	1	0.093	9.13524726124096e-196	DC	HLA-DRA
1.58900527668088e-196	1.56421759678583	0.31	0.005	7.4168191121215e-194	DC	C1orf162
3.45437274631146e-196	1.10640397990438	0.172	0	1.55861298313573e-193	DC	C1QC
4.22616592399512e-194	1.47281313186601	0.218	0.002	1.84533490152251e-191	DC	C1QB
7.11961598705398e-192	3.45529130223367	0.471	0.015	3.01159756252383e-189	DC	CCL4L2
