p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
4.92787869255199e-138	1.97346218879849	0.412	0.028	4.16701422242197e-134	DC	GPR183
1.89318745442477e-100	1.70684100359851	0.431	0.045	8.00439655730793e-97	DC	ANXA2
1.05853058514161e-82	1.77973770342028	0.575	0.101	2.98364487598582e-79	DC	CST3
1.02759672433213e-77	1.72223343229905	0.531	0.091	2.17233947523812e-74	DC	S100A10
1.67993632077773e-61	0.796082103510152	0.994	0.933	2.8411083056993e-58	DC	TMSB10
1.45940979399115e-56	1.12535541466567	0.975	0.735	2.05679486966487e-53	DC	CD74
1.05571892185839e-55	1.53607797514129	0.681	0.214	1.27530845760493e-52	DC	LGALS1
2.51711991142466e-51	0.690325357927382	1	0.974	2.66059574637587e-48	DC	TMSB4X
1.16303666356173e-47	1.30693569270267	0.8	0.331	1.01704034364656e-44	DC	HLA-DRB1
1.20274402039564e-47	0.904699163114393	0.119	0.006	1.01704034364656e-44	DC	ARL4C
3.12553554298444e-46	1.3082645605464	0.662	0.222	2.40268441377059e-43	DC	HLA-DPA1
1.92611668548395e-41	1.01327681215223	0.931	0.591	1.35727022437103e-38	DC	HLA-DRA
6.92751836283922e-40	1.34838636679934	0.388	0.086	4.50608425201296e-37	DC	AREG
7.89922513310419e-40	1.59518888606404	0.625	0.225	4.77113198039493e-37	DC	LYZ
2.15157390135038e-36	1.0602019112596	0.2	0.026	1.21291392732125e-33	DC	IRF8
4.27693821457192e-36	1.03867282770774	0.188	0.023	2.26036184640126e-33	DC	RNASE6
3.25275125479063e-30	1.20121883032743	0.319	0.073	1.61795674179468e-27	DC	RGS2
8.16380583739945e-26	0.433078918731677	1	0.968	3.45165710805249e-23	DC	B2M
6.33331156205763e-24	0.993621385081795	0.319	0.086	2.5502134556552e-21	DC	CXCR4
1.95557831456544e-23	0.866591417538015	0.769	0.451	7.51653192180244e-21	DC	S100A4
7.45870821995318e-23	0.937681259347835	0.194	0.037	2.74221029164887e-20	DC	HLA-DMB
1.05001430204202e-22	1.06755669728721	0.531	0.223	3.69955039086139e-20	DC	HLA-DPB1
2.08743131554692e-22	0.931618856767872	0.331	0.095	7.0605276817059e-20	DC	FCER1G
6.04834475623152e-22	1.06366344942699	0.181	0.034	1.96710781764207e-19	DC	HLA-DQB1
3.45923668709457e-21	0.866043267847459	0.362	0.114	1.0833816824471e-18	DC	CSTA
3.67247960642524e-21	0.882013519252173	0.188	0.037	1.10908884114042e-18	DC	FCGRT
1.1344158037728e-20	0.755069342855398	0.119	0.016	3.19754001223426e-18	DC	IGKC
1.17577890466535e-20	1.3700650656238	0.325	0.102	3.20722142511298e-18	DC	RGS1
3.00119381939381e-20	0.968564491814808	0.5	0.213	7.93065466774815e-18	DC	S100A6
3.12681592119849e-20	0.771356767524044	0.112	0.015	8.0122289180771e-18	DC	SAMHD1
5.75567658226034e-19	0.766619010449944	0.138	0.023	1.43147062292922e-16	DC	PLD4
1.47348378636954e-18	0.946416819354722	0.156	0.03	3.55993682786881e-16	DC	HERPUD1
4.78297305337023e-17	0.853992323857369	0.4	0.157	1.04456602756484e-14	DC	ZFP36
4.81765315456819e-17	0.930465399742465	0.15	0.03	1.04456602756484e-14	DC	ALOX5AP
1.18777158655544e-15	0.526181459569559	0.9	0.7	2.44970647217384e-13	DC	CFL1
2.53635303472006e-15	0.669796971343541	0.738	0.437	4.87440937763474e-13	DC	SH3BGRL3
3.06555026109629e-15	0.665381628109138	0.744	0.489	5.7605095572956e-13	DC	ACTB
1.03046410619202e-14	0.72358311182118	0.631	0.374	1.89426184390428e-12	DC	PLAC8
1.27170366197906e-14	0.734723199384208	0.306	0.107	2.28798429057338e-12	DC	TYROBP
2.06707066945114e-14	0.848404435308781	0.306	0.112	3.51387956670152e-12	DC	ID2
2.07774335779418e-14	0.508354125286607	0.881	0.66	3.51387956670152e-12	DC	FTH1
3.01766762562424e-13	0.819303239596881	0.169	0.044	4.81460329099596e-11	DC	DDIT4
3.89722345794277e-13	0.727118449674459	0.488	0.25	6.10276325191928e-11	DC	MYL12A
9.51005822502016e-13	-0.423843011142932	0.838	0.92	1.46212822455946e-10	DC	MT-ND3
2.20640070215964e-12	0.715701346218572	0.288	0.107	3.27321479604596e-10	DC	HLA-DMA
1.16505883459809e-11	0.683379044876919	0.206	0.066	1.66978601785787e-09	DC	ANXA5
1.42307073037724e-11	0.697312373703479	0.181	0.055	2.00558101601166e-09	DC	C20orf27
2.91922897437206e-11	-0.284360270119445	0.95	0.983	3.98145164633712e-09	DC	RPL11
3.90871548131408e-11	0.683889858128278	0.144	0.039	5.16439032968622e-09	DC	PMAIP1
4.58032523926803e-11	-0.276628841608357	0.956	0.981	5.95865080357699e-09	DC	RPL35A
5.17233873850247e-11	0.49438218419468	0.719	0.525	6.62686308678438e-09	DC	MYL6
7.05270530700991e-11	0.693942345326387	0.212	0.073	8.77024648177586e-09	DC	CAPG
8.32471657528405e-11	-0.301700725848914	0.95	0.98	1.02020004870438e-08	DC	RPS15A
8.71259269499368e-11	0.68447564963896	0.219	0.077	1.05248119755524e-08	DC	CORO1A
1.42189899755361e-10	0.714824509918235	0.3	0.129	1.69346167933991e-08	DC	CALM1
1.56785818715779e-10	0.640017768230538	0.125	0.032	1.8413623375842e-08	DC	GADD45B
1.63024632697277e-10	0.658353223241082	0.125	0.032	1.88840588231257e-08	DC	RETN
3.4641388707796e-10	0.603251906433084	0.119	0.03	3.9057011055083e-08	DC	REEP5
5.91182768852361e-10	0.627411289371786	0.138	0.039	6.57768617554679e-08	DC	IQGAP1
7.4904910067005e-10	-0.251476151427508	0.975	0.99	8.22592103281292e-08	DC	RPL10
1.27159660958962e-09	-0.273059588903519	0.981	0.982	1.36109125704934e-07	DC	RPL37A
2.54175796555281e-09	-0.257841240999037	0.981	0.989	2.68663816958932e-07	DC	RPS12
4.96788565182158e-09	-0.333724279808228	0.85	0.918	5.00100488950039e-07	DC	EEF1A1
6.53252515269715e-09	-0.281764727240331	0.95	0.967	6.49870972837731e-07	DC	RPS4X
1.37900286017438e-08	0.525229614126319	0.375	0.192	1.31020766130725e-06	DC	LAPTM5
3.68215930502081e-08	0.558254720298681	0.112	0.032	3.34799344981247e-06	DC	RNH1
3.81845816057724e-08	0.568307579962083	0.475	0.285	3.43498746870651e-06	DC	FOS
1.13901883616656e-07	0.25728123298226	0.969	0.902	9.63154327862445e-06	DC	FTL
1.2103401363915e-07	0.605899559647495	0.2	0.083	1.01333031617095e-05	DC	ARPC5
1.57458763958971e-07	-0.273349917164619	0.938	0.961	1.30536402748731e-05	DC	RPL39
1.71942341419728e-07	0.529689090256051	0.15	0.053	1.39802349908194e-05	DC	RNASET2
2.55814397543862e-07	-0.284597849455947	0.856	0.895	2.02165097722514e-05	DC	RPL6
2.64613240348869e-07	0.527210262419845	0.206	0.086	2.07182366702781e-05	DC	YPEL5
4.61511957971973e-07	0.461913097674557	0.606	0.469	3.4236332493662e-05	DC	H2AFZ
4.79315997345609e-07	-0.291943029189619	0.856	0.894	3.49404833927109e-05	DC	RPL24
5.01067587910392e-07	0.479153389966441	0.519	0.327	3.60565879727919e-05	DC	OAZ1
5.03154846356367e-07	0.589596040976003	0.106	0.033	3.60565879727919e-05	DC	MAP3K8
7.79962983506766e-07	0.306573794343357	0.219	0.095	5.49613915711101e-05	DC	RNASE2
9.51185877919382e-07	0.27911558101058	0.894	0.753	6.64729568899694e-05	DC	SERF2
1.03794749527578e-06	0.526773989430612	0.175	0.072	7.13567806508289e-05	DC	CYBA
1.20711097506362e-06	0.334001517485741	0.412	0.257	8.00794820979536e-05	DC	S100A9
1.69604421053937e-06	0.397449655767496	0.106	0.034	0.000109479006445198	DC	PLEKHJ1
2.13538630647271e-06	0.538791502079541	0.112	0.038	0.000135765613590475	DC	JAML
2.38972901523937e-06	0.45550157999024	0.312	0.168	0.000150802601140777	DC	VIM
2.59511627212832e-06	0.545930795467702	0.194	0.087	0.000161355170567037	DC	UCP2
2.85704572707823e-06	0.370802682954629	0.662	0.492	0.000176344369840683	DC	ACTG1
3.11649422327507e-06	0.518523509843991	0.212	0.098	0.000189590468719525	DC	SLC38A2
3.63319205045387e-06	0.558172503631772	0.156	0.064	0.000215599469097399	DC	C1orf162
3.64601751193568e-06	0.402501235690023	0.469	0.299	0.000215599469097399	DC	ARPC2
4.44391341224038e-06	0.383117332235607	0.106	0.035	0.000257381724752771	DC	GNAI2
4.56921326530704e-06	0.52672016891921	0.269	0.141	0.000262838553547186	DC	ARPC1B
4.66136029363178e-06	-0.267601311410362	0.825	0.861	0.000266327450290205	DC	RPL7A
5.02951287450453e-06	0.465509102744208	0.162	0.068	0.000283530405778735	DC	CAP1
6.09290509471386e-06	0.477305896035858	0.156	0.065	0.000338899792876373	DC	IL1B
6.6092078193753e-06	0.438484093957157	0.256	0.13	0.000360564266584758	DC	LCP1
9.43003035979578e-06	0.395955365746431	0.244	0.122	0.000495281594549274	DC	PSAP
1.31988139146282e-05	0.417405267474334	0.356	0.214	0.000672344400374072	DC	ATP5C1
1.46422687539174e-05	0.482721119470057	0.219	0.109	0.000741407332833087	DC	CAPZB
1.72708436764544e-05	0.38006412108071	0.5	0.334	0.000869299131714874	DC	TAGLN2
1.79720981976591e-05	0.540830579504477	0.244	0.128	0.000885914753928958	DC	PKM
2.00813073304914e-05	0.480767099564659	0.362	0.229	0.000981546443853385	DC	COX8A
2.25769910104396e-05	0.443755139840089	0.125	0.049	0.00108472179536521	DC	PLP2
2.58752543378546e-05	0.443901014630917	0.106	0.039	0.0012292199476455	DC	PARL
3.22039900948236e-05	0.481465215270347	0.112	0.044	0.00147198346076664	DC	SNRNP25
4.19052977934316e-05	0.495435238902651	0.288	0.163	0.00188484679862371	DC	CXCL8
4.528961049748e-05	0.327329639282323	0.369	0.223	0.0020156260335089	DC	ANXA1
4.72701223670902e-05	-0.300240756815773	0.65	0.735	0.00208185497258393	DC	RPSA
5.91226549068139e-05	0.358600404381271	0.106	0.04	0.00253777243600009	DC	CTSB
6.01031727853125e-05	-0.759475500683867	0.038	0.154	0.00255393180438494	DC	TRBC2
7.46806060787074e-05	-0.688348436446689	0.156	0.281	0.00305072079710894	DC	SMIM24
9.31459363770578e-05	-0.8237127764024	0.056	0.169	0.00369784994368263	DC	IGLL1
9.45368011196663e-05	0.354198725686228	0.269	0.15	0.00371815437333906	DC	CD53
0.000104352852158471	0.418606097071977	0.169	0.081	0.00408522091598162	DC	PPT1
0.000110735825573717	0.328161552599715	0.588	0.443	0.00431512507396935	DC	TUBA1B
0.000151568851248634	-0.522522666152909	0.138	0.274	0.00552442330240711	DC	IFITM3
0.000156662656443352	0.391939172493219	0.537	0.409	0.00566127958497856	DC	PFN1
0.000157964415145079	0.46485565363528	0.169	0.084	0.00568403018922038	DC	PLEK
0.00016076059569325	0.349973620667431	0.4	0.263	0.00576013388636492	DC	HLA-B
0.000178673036087395	0.371297911520179	0.45	0.298	0.00615225062948074	DC	UBC
0.00018819153095183	-0.522127042134853	0.231	0.361	0.00636539034291469	DC	PRSS57
0.000200185604738184	-1.1438097969795	0.062	0.172	0.00674410148870949	DC	ELANE
0.000211977711966008	0.32146479028922	0.506	0.358	0.00708056372484699	DC	ATP5J2
0.000217314236923927	0.354741608142336	0.162	0.079	0.00720631053893618	DC	RILPL2
0.000247425026601221	0.362935201949651	0.175	0.088	0.00810684403562585	DC	S100A11
0.000254266147986198	0.393768305386529	0.356	0.23	0.00826951748988957	DC	DBI
0.000264145197026974	-0.262078734239398	0.681	0.756	0.00849282047931595	DC	RPS2
0.000268587690053755	0.252057175738599	0.719	0.567	0.00849595359168111	DC	GSTP1
0.000269923147185667	0.375409308976432	0.138	0.064	0.00849595359168111	DC	SET
