p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.07579073883643e-260	5.49584630700416	0.973	0.011	9.47771640914891e-257	B	JCHAIN
2.42280242346931e-212	2.83876248887983	0.568	0.001	1.06724446753823e-208	B	MZB1
7.49550770024776e-171	2.36345563944604	0.486	0.002	2.20118076130609e-167	B	DERL3
1.94962872097764e-125	6.32096813448365	0.784	0.025	4.29405725795326e-122	B	IGHA1
6.96150241176679e-123	1.99892303915066	0.324	0.001	1.22661672495331e-119	B	CD79A
5.17611082678716e-90	3.65175900289344	0.243	0.001	7.60025606399915e-87	B	IGLL5
2.99189417660137e-89	1.88417824818342	0.216	0	3.76551252797972e-86	B	IGHV4-39
3.06778113134484e-79	1.6807404215281	0.216	0.001	3.37839397089351e-76	B	CD27
2.7368243845966e-78	2.65523386135908	0.189	0	2.67904698092178e-75	B	IGLV3-1
9.29484233786027e-65	4.04624878483472	0.216	0.002	8.18875609965489e-62	B	IGKV3-15
7.27698722153325e-59	6.25201864074608	0.459	0.02	5.82820522015527e-56	B	IGHA2
1.07828428981791e-57	1.2912434921712	0.162	0.001	7.91640382774646e-55	B	AL928768.3
4.39070922407673e-57	2.39189089373642	0.378	0.012	2.97554986647046e-54	B	RGS1
2.1877333062559e-56	1.03575492089032	0.135	0	1.37670931629389e-53	B	IGHV4-59
1.86220543037274e-53	2.08227455892065	0.595	0.039	1.09373532277225e-50	B	SRGN
1.25834303434187e-51	6.1914933592717	0.811	0.097	6.92875133284493e-49	B	IGKC
2.98919550978616e-40	2.95612658009417	0.135	0.001	1.54910661418918e-37	B	IGKV3-20
1.58869223817255e-39	1.60712360054969	0.324	0.015	7.77576589905563e-37	B	FKBP11
2.08693705085368e-36	2.72894236449285	0.108	0.001	9.67679758843205e-34	B	IGKV2-30
7.81575066928552e-36	1.01205268478869	0.189	0.004	3.44283816982027e-33	B	CYTIP
3.50117396391406e-35	2.26804753468947	0.919	0.206	1.4688258391468e-32	B	SSR4
4.37585457227173e-35	2.413997534629	0.676	0.093	1.75233085371427e-32	B	HERPUD1
3.29097390706912e-31	0.905882333261764	0.135	0.002	1.15973920485116e-28	B	SLAMF7
2.39968280285535e-30	3.24976169734708	0.108	0.001	8.11749251282865e-28	B	IGKV4-1
2.48776728542989e-30	3.53398450630031	0.108	0.001	8.11749251282865e-28	B	IGHG3
4.07803546656586e-30	4.55562479018921	0.189	0.006	1.28312473073019e-27	B	IGHG1
5.46304926319333e-28	0.925325364930248	0.135	0.003	1.65963668995632e-25	B	ICAM2
1.82892801803023e-23	-1.30807680424059	0.946	1	5.37095194628211e-21	B	MT-ATP6
6.0051173774995e-23	2.21873256730718	0.486	0.07	1.7066156159926e-20	B	TSC22D3
6.34273598133165e-23	1.46487751113013	0.405	0.045	1.74623449986037e-20	B	SEC11C
5.29191778301336e-22	-1.28979906325235	0.919	0.999	1.41278168691963e-19	B	MT-CYB
1.16572269212663e-21	5.05825870210778	0.135	0.004	3.02059321106929e-19	B	IGHG2
1.64719256124503e-21	-1.2497594009828	0.973	1	4.14621898987678e-19	B	MT-ND4
1.84144813854437e-21	-1.18949367644362	0.973	1	4.50643280571552e-19	B	MT-CO3
5.09863037934463e-21	4.31727938706153	0.162	0.007	1.21402523356828e-18	B	IGLC3
6.19985762615658e-21	-2.0085905631259	0.351	0.969	1.43738804437999e-18	B	S100A6
1.11254190902193e-20	-1.04220811756468	1	1	2.51320364576492e-18	B	MT-CO1
3.40169553628385e-20	0.738108336007373	0.108	0.003	7.49223441866517e-18	B	EVI2B
2.96079855747815e-19	-1.0669013969245	0.919	0.999	6.36210616862987e-17	B	MT-CO2
4.03287595955847e-19	-1.88289187436813	0.324	0.952	8.45943742945479e-17	B	S100A11
1.20444227641352e-18	5.8349978728147	0.27	0.025	2.46770615237281e-16	B	IGLC2
3.6402723356738e-18	-1.96896409138249	0.27	0.932	7.28881801756505e-16	B	S100P
1.34956713769879e-17	-1.13524631742009	0.757	0.992	2.64215255180584e-15	B	RPS6
1.60206564818603e-17	0.880246745758881	0.135	0.006	3.06830399141715e-15	B	THEMIS2
1.76963841397384e-17	-1.32068490786991	0.703	0.984	3.31713072917224e-15	B	MT-ND3
4.7260116138452e-17	-0.991553887159832	0.919	0.998	8.67420048291171e-15	B	MT-ND1
9.40064514585387e-17	-1.28307006312908	0.676	0.983	1.69019762724434e-14	B	TMSB4X
1.38977229102278e-16	-1.40603008412916	0.676	0.97	2.44877877678213e-14	B	MTATP6P1
3.88768608411288e-16	-1.20082361605642	0.703	0.98	6.71578713745774e-14	B	MT-ND5
4.15299194678942e-16	-1.0151226241553	0.865	0.998	7.03612674061822e-14	B	MT-ND2
1.16348626103666e-15	-0.926704237806649	0.811	0.995	1.89820628883944e-13	B	RPL31
2.60114547611453e-15	-1.32919020324536	0.541	0.947	4.16656211719436e-13	B	FTH1
