p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.39196497052144	0.865	0.015	0	Endometrial	DEFB1
0	3.15103912135262	0.844	0.013	0	Endometrial	UCA1
0	3.11266084864429	0.589	0.017	0	Endometrial	MMP7
0	2.89826393849746	0.759	0.018	0	Endometrial	SCGB2A1
0	2.70697524318387	0.674	0.015	0	Endometrial	CLDN4
0	2.56317765509873	0.667	0.008	0	Endometrial	LAMC2
0	2.5246177256363	0.716	0.013	0	Endometrial	KRT19
0	2.47520558194792	0.702	0.012	0	Endometrial	TACSTD2
0	2.36479708950125	0.539	0.013	0	Endometrial	SLPI
0	2.32273923297744	0.617	0.007	0	Endometrial	ITGB8
0	2.24150806621215	0.603	0.016	0	Endometrial	CD24
0	2.09463497660176	0.553	0.004	0	Endometrial	GABRP
0	2.0155995515391	0.574	0.018	0	Endometrial	KRT18
0	1.96770046546267	0.546	0.012	0	Endometrial	KRT8
0	1.95077853897523	0.426	0.006	0	Endometrial	SFN
0	1.92692559181603	0.44	0.004	0	Endometrial	LAMB3
0	1.80909753024487	0.454	0.005	0	Endometrial	F2RL1
0	1.57190833187115	0.348	0.002	0	Endometrial	VNN1
0	1.56205421447948	0.333	0.004	0	Endometrial	KRT7
0	1.54494114602392	0.404	0.005	0	Endometrial	SPINT2
0	1.53289343968462	0.411	0.009	0	Endometrial	AQP3
0	1.45993707215391	0.376	0.004	0	Endometrial	EPCAM
0	1.45550736476282	0.312	0.002	0	Endometrial	S100A14
0	1.42509433537763	0.333	0.002	0	Endometrial	MAL2
0	1.22098408508692	0.241	0.001	0	Endometrial	GCNT3
1.86480131590364e-304	1.23801633085218	0.27	0.002	8.26465598582985e-302	Endometrial	LINC01541
1.36455108224686e-303	1.29662917646853	0.284	0.003	5.82360078545577e-301	Endometrial	CLDN7
6.0711591340765e-289	2.4972191060623	0.34	0.006	2.49849881078441e-286	Endometrial	CST1
3.88874554458016e-288	1.69073070175404	0.362	0.007	1.54517292793783e-285	Endometrial	CXCL14
2.44213076407806e-270	1.89752149496967	0.496	0.018	9.38022426482382e-268	Endometrial	KLF5
2.96773040965183e-269	1.032688042144	0.234	0.002	1.10313411323929e-266	Endometrial	CDH1
3.85417641053242e-265	0.915936467755719	0.206	0.001	1.38786483683016e-262	Endometrial	PAX8
5.38623772002636e-260	0.978467352524639	0.22	0.002	1.88077628023829e-257	Endometrial	UGT2B7
1.36718991791737e-257	1.19940861926728	0.255	0.003	4.63356747769465e-255	Endometrial	RXFP1
8.75659964256358e-254	1.93330952598508	0.631	0.034	2.88292279089315e-251	Endometrial	USP53
7.73211840230501e-252	1.04960045665465	0.241	0.003	2.4749222319378e-249	Endometrial	CYP3A5
8.04684479714005e-247	0.984931052232667	0.184	0.001	2.50604844857959e-244	Endometrial	S100A1
1.28509640836862e-244	1.20020033509347	0.255	0.003	3.89688576674515e-242	Endometrial	LMO7
1.20763508163087e-228	2.04263106539794	0.688	0.047	3.56809719118782e-226	Endometrial	EZR
5.7182545629504e-226	1.74036656507596	0.333	0.008	1.64728618322194e-223	Endometrial	WFDC2
1.11288065962767e-225	4.34122656639398	0.908	0.103	3.12773752216821e-223	Endometrial	PAEP
4.9900928322742e-222	1.13373629249575	0.199	0.002	1.36906761205466e-219	Endometrial	KLK10
8.54113888005367e-222	1.03819314082393	0.22	0.003	2.28882658871764e-219	Endometrial	C19orf33
2.23758837611511e-220	1.52520634056841	0.298	0.006	5.85993883135781e-218	Endometrial	ELF3
8.31557500512094e-208	0.985438322838966	0.177	0.001	2.12934157297797e-205	Endometrial	TMC5
9.72586502321481e-202	0.822617549713452	0.177	0.001	2.43632918831531e-199	Endometrial	CXADR
6.81664213019519e-201	1.11043972574575	0.22	0.003	1.67123760140934e-198	Endometrial	AGR2
9.52857213794965e-199	1.17612072508556	0.298	0.008	2.28745284886654e-196	Endometrial	JUP
7.68995978787619e-195	0.800439971604592	0.156	0.001	1.80839605378974e-192	Endometrial	C6orf132
8.40720071925128e-195	1.15303936175633	0.234	0.004	1.93752347775865e-192	Endometrial	CLDN3
3.98356330681505e-194	1.23668394048912	0.305	0.008	9.0005098008686e-192	Endometrial	RAB11FIP1
8.29452166289676e-184	0.775710868147261	0.149	0.001	1.83803409849153e-181	Endometrial	SPINT1
1.66991411649371e-180	0.996586669006314	0.17	0.002	3.63064535176548e-178	Endometrial	KRT23
1.7804950513917e-180	1.00325562981664	0.17	0.002	3.7993786068864e-178	Endometrial	PDZK1IP1
5.20289875908283e-176	1.01986719576912	0.156	0.001	1.09005458910748e-173	Endometrial	CDCP1
7.68300452982027e-176	0.587045241396919	0.135	0.001	1.58091537851998e-173	Endometrial	ST14
1.30199956767992e-168	1.48078218773927	0.468	0.028	2.6320949155045e-166	Endometrial	SDC4
4.44749450860442e-166	1.83279315564369	0.426	0.023	8.83594469356013e-164	Endometrial	G0S2
4.6214158452027e-165	0.861666706093547	0.156	0.002	9.02586013292724e-163	Endometrial	WWC1
1.76275247901846e-163	0.991161570771413	0.177	0.003	3.38536613595496e-161	Endometrial	LIPG
9.2161945498661e-163	1.15564208491577	0.206	0.004	1.74095425898536e-160	Endometrial	IDO1
1.13478609433705e-161	0.869627805446001	0.184	0.003	2.10905486532998e-159	Endometrial	TMEM30B
8.94374168735907e-156	1.29607259791948	0.298	0.011	1.6358529438641e-153	Endometrial	MGST1
5.19195554918538e-154	1.69677117585107	0.362	0.018	9.20413904511741e-152	Endometrial	RIMKLB
2.85358226204789e-152	1.72991285197459	0.376	0.02	4.90773558292206e-150	Endometrial	C15orf48
5.33893488775744e-150	0.655935620243588	0.113	0.001	9.04713922229837e-148	Endometrial	CLDN10
2.62307773578363e-145	1.03242173421728	0.248	0.008	4.38053981875866e-143	Endometrial	ANXA3
4.43260387791725e-145	0.626687222516938	0.128	0.001	7.29669921217721e-143	Endometrial	SLC18A2
4.66246106821264e-145	1.60477261470643	0.163	0.003	7.56697730831186e-143	Endometrial	KRTAP3-1
1.31296024948484e-144	0.788888176464315	0.135	0.001	2.10128346594637e-142	Endometrial	GALNT3
6.16969255160552e-144	0.952466611994637	0.206	0.005	9.60721179353384e-142	Endometrial	TSPAN1
1.54150719247464e-143	0.841361213205515	0.17	0.003	2.36837165051803e-141	Endometrial	RASEF
1.89220130978214e-143	0.834509512492288	0.17	0.003	2.8689257490289e-141	Endometrial	RHPN2
2.49378436658706e-141	0.701033650392744	0.149	0.002	3.73193211119256e-139	Endometrial	IRF6
2.02020011123554e-139	0.692805303729297	0.135	0.001	2.98445716432912e-137	Endometrial	CA12
6.50619764546669e-137	1.21055222754457	0.22	0.006	9.48998929983705e-135	Endometrial	SERPINA1
5.97155733433669e-136	0.717453612255626	0.113	0.001	8.60128189544521e-134	Endometrial	MUC16
1.4502295279884e-134	0.693371814399346	0.163	0.003	2.06308578407534e-132	Endometrial	DSG2
5.45394878206688e-134	0.85769821165715	0.177	0.004	7.66412827021423e-132	Endometrial	CTSV
2.33079002349361e-133	0.937190062668674	0.191	0.005	3.23586667960444e-131	Endometrial	DMKN
5.37865086499165e-130	1.35800770343072	0.404	0.027	7.29155222556456e-128	Endometrial	F11R
2.37436014265811e-125	0.734235592035234	0.106	0.001	3.18136650277319e-123	Endometrial	FGFBP1
1.14335316633263e-124	1.1461410759587	0.177	0.004	1.51435155582194e-122	Endometrial	CP
2.66012753435183e-120	1.47967553033243	0.433	0.035	3.44411793015013e-118	Endometrial	PERP
2.55492282508038e-119	0.628707320241942	0.106	0.001	3.27115285704458e-117	Endometrial	LCN2
6.38578443919211e-111	1.80228157645982	0.652	0.092	7.91219291320545e-109	Endometrial	HMGA1
1.48223871439037e-109	1.30645516414774	0.411	0.034	1.81700390488513e-107	Endometrial	CCND1
1.63753786932311e-109	1.83950915958031	0.745	0.121	1.98624724928528e-107	Endometrial	TFPI2
1.22161192665565e-107	0.698348908176431	0.121	0.002	1.43639124804623e-105	Endometrial	EHF
1.34514529923002e-107	0.837281810104864	0.156	0.004	1.56566760434621e-105	Endometrial	CLDN1
1.62617917929643e-105	1.34824808955683	0.348	0.025	1.85529333495374e-103	Endometrial	DUSP4
1.67272999185078e-103	0.7614861442173	0.142	0.003	1.85335266308621e-101	Endometrial	RHOF
1.90089078402308e-100	1.08129072961787	0.255	0.014	2.06641174568849e-98	Endometrial	NCEH1
3.26407741423905e-94	1.7242484471606	0.539	0.071	3.45063890314464e-92	Endometrial	GPX3
3.99986010394243e-80	0.6561360356432	0.121	0.003	4.00785982415031e-78	Endometrial	SEMA3B
7.66377798172418e-80	0.614572996614782	0.142	0.005	7.61290635201791e-78	Endometrial	VAMP8
1.48922016207563e-79	1.432815238807	0.61	0.104	1.4542613497964e-77	Endometrial	ISG20
4.99810675729237e-79	1.45385002166271	0.22	0.013	4.83976337514958e-77	Endometrial	MT1G
1.26991963394362e-78	1.3292815744766	0.461	0.059	1.21176070352784e-76	Endometrial	MPZL2
2.19958305015297e-78	2.24778133959691	0.27	0.021	2.07752422023874e-76	Endometrial	CCL20
2.68557248823822e-78	0.767439083918251	0.177	0.008	2.47566814255752e-76	Endometrial	FAM102A
4.42184683692971e-78	0.600653159931591	0.121	0.003	4.04388421443977e-76	Endometrial	ZNF165
2.57807316795416e-73	0.537433766431897	0.106	0.003	2.32087008705748e-71	Endometrial	BAIAP2L1
2.18159438040329e-71	1.45121853065937	0.759	0.178	1.91897038514405e-69	Endometrial	BIRC3
6.15935430600292e-71	0.923969957105365	0.206	0.013	5.37683633849028e-69	Endometrial	CPM
3.01438686806079e-68	1.60663385614767	0.943	0.425	2.59214775228839e-66	Endometrial	ACTG1
