p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.58638665522809e-64	1.40046429141481	0.389	0.008	1.00259636610415e-60	B	ISG20
2.16768008850206e-47	1.43704399639878	0.444	0.015	6.8498690796665e-44	B	CYTIP
1.63604838541639e-46	5.6652299217177	0.611	0.031	3.44660859861053e-43	B	IGHG1
4.87006569267641e-35	2.54635933758445	0.778	0.07	7.69470379442872e-32	B	SEC11C
2.14879318605026e-26	1.53175204534769	0.611	0.052	2.71607458716752e-23	B	GLRX
2.44297115967064e-25	6.46832215502086	0.667	0.071	2.57326295485308e-22	B	IGKC
1.04575908042064e-22	1.76800110986934	0.556	0.051	9.44171055465493e-20	B	SPCS3
2.89692876876684e-21	1.03295384285978	0.278	0.014	2.2885737273258e-18	B	IL2RG
2.36788935940083e-20	1.71913326973766	0.389	0.028	1.66278452793481e-17	B	ITM2C
2.25823735066362e-19	1.37414911565708	0.389	0.029	1.42720600561941e-16	B	EDEM2
3.25286454161411e-18	1.93580301726756	0.667	0.097	1.86891853663647e-15	B	FKBP11
4.94616771120718e-18	1.01065316033757	0.222	0.01	2.60498166123578e-15	B	EAF2
2.08055931095936e-17	1.47335778291987	0.389	0.033	1.01147191117409e-14	B	UBE2J1
2.3826784552044e-17	1.04349211135397	0.444	0.041	1.07560913120656e-14	B	ERLEC1
1.11151892375073e-14	2.29798472293326	0.944	0.31	4.68319973206973e-12	B	SSR4
6.81450216349901e-14	0.984815493164059	0.278	0.021	2.69172835458211e-11	B	CCDC167
1.09038621623979e-13	1.34768866407148	0.667	0.114	4.05367110978558e-11	B	PRDX4
9.35567883064152e-13	0.999106853140466	0.333	0.032	3.28488278942525e-10	B	CYBA
1.39240612813586e-12	1.25389953838554	0.278	0.023	4.63158248937821e-10	B	PELI1
1.16330381377461e-11	1.42426977569147	0.5	0.078	3.67604005152778e-09	B	BIRC3
5.88958444334864e-11	1.07094507894066	0.278	0.027	1.77248446104588e-08	B	HIST1H1C
9.40400036353745e-11	1.0179728723763	0.278	0.027	2.70151283170712e-08	B	THAP2
1.31313944157199e-10	0.985313221266123	0.167	0.011	3.60827881336305e-08	B	SEL1L3
1.38920657403217e-10	0.930879744322025	0.389	0.05	3.65824397828472e-08	B	H2AFV
1.67723185104882e-10	1.24571177730638	0.556	0.102	4.24004211945143e-08	B	RPN2
3.28750333573103e-10	5.05382422013294	0.389	0.058	7.9911619545462e-08	B	IGHG4
8.89437319063253e-10	1.10774443555195	0.444	0.071	2.08194216906658e-07	B	COPE
1.24718712028068e-09	0.768619130541405	0.111	0.005	2.81507950006211e-07	B	GCDH
1.34031298353339e-09	1.42553916253363	0.944	0.454	2.92095795032104e-07	B	SUB1
1.70274020831765e-09	-1.47323376342673	0.667	0.97	3.58710603885584e-07	B	FOS
7.579416299548e-09	0.655371186857827	0.167	0.013	1.54522293590785e-06	B	NEDD1
9.05244388797737e-09	-1.62282514574737	0.444	0.918	1.78785766787553e-06	B	IFITM3
1.7867697243084e-08	0.635811155011898	1	0.998	3.42193474473609e-06	B	B2M
2.74506255837241e-08	0.945184166181932	0.167	0.014	5.10258687320989e-06	B	ADGRE5
3.46326819014657e-08	-1.08263025589961	0.944	1	6.12138315336218e-06	B	TMSB4X
3.48686382153542e-08	1.18997406277684	0.611	0.157	6.12138315336218e-06	B	XBP1
3.95905524005013e-08	1.03535002975131	0.278	0.036	6.76249435597753e-06	B	AREG
4.96133498769351e-08	1.34808429258491	0.611	0.167	8.25148345321658e-06	B	SPCS2
5.73112825837363e-08	-0.934709404113802	0.833	0.99	9.28736681869778e-06	B	RPL31
6.3204073176916e-08	0.940620920031637	0.5	0.102	9.98624356195274e-06	B	IDI1
6.60916791969567e-08	-1.78336691739498	0.833	0.941	1.00966088942444e-05	B	MGP
6.70977173351687e-08	0.949525809137713	0.167	0.014	1.00966088942444e-05	B	GGA2
9.70231799701132e-08	2.0281915428791	0.333	0.055	1.42601511025841e-05	B	RGS1
1.24528490608921e-07	0.660527068883366	0.167	0.015	1.78868195601904e-05	B	ANKRD28
1.73212289213643e-07	0.568393299987548	0.222	0.025	2.43267037295605e-05	B	PDE4B
